elapsed_time,nproc,cpu,mem_real,mem_virtual
4.220008850097656e-05,1,0.0,10.93359375,3191.59375
1.0060296058654785,2,33.8,44.51953125,169.28125
2.0147013664245605,2,2.0,49.80078125,174.16015625
3.0217854976654053,4,11.9,574.484375,2327.91796875
4.028876066207886,4,198.6,762.265625,2583.91796875
5.035942792892456,4,101.3,761.1875,2575.85546875
6.042897462844849,3,99.3,623.921875,2100.609375
7.049994230270386,3,100.3,704.07421875,2212.609375
8.05736780166626,4,313.6,695.12890625,3049.65625
9.064949989318848,3,3.0,235.05859375,1582.49609375
10.073776245117188,3,101.1,347.05859375,1737.109375
11.082349061965942,3,1.0,281.64453125,1614.8828125
12.089999914169312,4,279.9,485.51171875,2273.203125
13.09740161895752,7,263.8,744.66015625,3455.328125
14.105924606323242,4,101.2,402.79296875,2006.76171875
15.113908290863037,1,10.9,72.875,695.2421875
16.12196683883667,1,99.2,541.55078125,1899.2421875
17.12992525100708,1,100.2,982.6640625,1387.2109375
18.13757634162903,1,100.2,982.6640625,1387.2109375
19.144274711608887,1,1218.9,1071.95703125,5423.8125
20.15273928642273,1,1704.3,1734.46875,7311.84375
21.162731885910034,1,2246.0,2693.23828125,8847.84375
22.16938018798828,1,99.3,2723.77734375,9871.8828125
23.177566289901733,1,406.7,4309.8828125,11183.875
24.192564964294434,1,4675.1,4311.265625,11183.875
25.236042261123657,1,2198.3,7257.19140625,16313.875
26.243563890457153,1,2198.7,15458.1171875,30163.875
27.263564825057983,1,3976.4,19480.38671875,30163.875
28.282315254211426,1,4422.5,19480.39453125,30163.875
29.293569803237915,1,4599.6,23933.3671875,34966.375
30.312838554382324,1,681.9,27450.15234375,45850.375
31.320701360702515,1,100.2,30987.4609375,45850.375
32.32914900779724,1,1870.2,32706.1875,66330.375
33.33608675003052,1,100.3,36144.8359375,66330.375
34.34281539916992,1,99.3,39683.5859375,66330.375
35.35007357597351,1,99.3,43238.6953125,66330.375
36.357027530670166,1,99.3,46780.3515625,66330.375
37.36406207084656,1,101.3,49050.578125,66330.375
38.372053146362305,1,99.2,49050.578125,66330.375
39.379403591156006,1,100.3,49050.578125,66330.375
40.38708782196045,1,99.2,49050.578125,66330.375
41.39418315887451,1,1069.3,49081.5,66350.375
