elapsed_time,nproc,cpu,mem_real,mem_virtual
5.316734313964844e-05,1,0.0,10.70703125,27671.59375
1.0076615810394287,1,64.5,57.43359375,167.25
2.0177881717681885,1,63.4,91.2265625,255.25
3.02728009223938,1,100.1,139.24609375,319.25
4.035543918609619,1,100.2,197.24609375,379.25
5.044098138809204,1,100.1,247.24609375,419.25
6.052563428878784,1,99.2,305.24609375,473.25
7.061790943145752,1,100.1,357.24609375,529.25
8.070919752120972,1,100.1,413.24609375,593.25
9.07951283454895,1,100.1,471.24609375,673.25
10.08774733543396,1,100.2,529.24609375,777.25
11.096014261245728,1,100.2,587.24609375,777.25
12.105109691619873,1,99.1,645.24609375,889.25
13.113519430160522,1,99.2,701.24609375,889.25
14.122371673583984,1,100.1,759.24609375,1017.25
15.13208794593811,1,101.0,817.24609375,1027.25
16.140377521514893,1,99.2,734.984375,1187.25
17.1491858959198,1,100.1,315.37890625,1699.28125
18.158159971237183,1,99.1,315.37890625,1699.28125
19.16694474220276,1,2280.8,689.81640625,30932.26171875
20.177608728408813,1,2131.5,1938.92578125,32224.26171875
21.196791410446167,1,1692.2,1078.80078125,34784.32421875
22.20720386505127,1,416.7,3455.44921875,34272.29296875
23.21651864051819,1,763.9,3362.32421875,34272.29296875
24.228663682937622,1,750.8,3276.45703125,34272.29296875
25.238420724868774,1,1092.4,3149.17578125,34272.29296875
26.2545382976532,1,2914.1,3020.99609375,34272.29296875
27.294631719589233,1,4696.5,4225.5390625,36064.29296875
28.309757232666016,1,2154.6,10279.234375,47870.29296875
29.31760573387146,1,4030.9,11190.83203125,47870.29296875
30.332387685775757,1,4071.7,8687.7734375,47964.79296875
31.345359325408936,1,3676.9,15545.48046875,63580.79296875
32.35226774215698,1,1233.6,22063.69921875,63580.79296875
33.3627142906189,1,2356.2,22154.0234375,84060.79296875
34.369813680648804,1,101.3,29096.7578125,84060.79296875
35.37647080421448,1,103.3,35694.8984375,84060.79296875
36.384377241134644,1,103.2,35455.38671875,84060.79296875
37.39145278930664,1,105.3,35133.4140625,84060.79296875
38.39863610267639,1,103.3,34793.64453125,84060.79296875
39.405312299728394,1,103.3,34484.08984375,84060.79296875
40.41160845756531,1,1563.3,34799.1875,84060.79296875
41.430609703063965,1,2047.2,34367.23828125,84060.79296875
42.440733432769775,1,1953.0,37299.66796875,84060.79296875
43.44862246513367,1,1600.4,35226.5,108636.79296875
44.45661497116089,1,1890.0,39306.6015625,108636.79296875
45.47661542892456,1,2463.7,37822.59765625,108636.79296875
46.49573564529419,1,1841.7,35521.45703125,108636.79296875
47.50261688232422,1,101.3,40359.68359375,108636.79296875
48.51054501533508,1,1977.3,45185.03515625,108636.79296875
49.53079319000244,1,3995.1,48323.81640625,108680.79296875
50.53961420059204,1,1016.1,40904.81640625,108680.79296875
51.558614015579224,1,2475.1,38224.703125,108680.79296875
52.57714891433716,1,2238.3,35712.8984375,108680.79296875
53.58461546897888,1,4223.8,19013.5,108680.79296875
54.604602336883545,1,4777.9,18683.23046875,108680.79296875
55.62462496757507,1,4750.4,19317.66015625,108680.79296875
56.64519715309143,1,2589.9,20135.1953125,108696.79296875
57.650963306427,1,2018.5,19171.72265625,108696.79296875
58.65761637687683,1,3734.7,10548.08984375,108696.79296875
59.67673897743225,1,3056.5,12161.98046875,108696.79296875
60.68799543380737,1,2250.6,11026.56640625,108696.79296875
61.69561457633972,1,1964.3,10311.3515625,108696.79296875
62.70179343223572,1,1908.0,3778.796875,108696.79296875
63.70852041244507,1,821.5,4110.23046875,108696.79296875
64.71569466590881,1,811.2,3897.3203125,108696.79296875
65.72361612319946,1,1420.7,3505.0703125,108696.79296875
66.77117228507996,1,4598.3,5345.1640625,108696.79296875
67.77948141098022,1,2368.6,10723.2734375,108696.79296875
68.79803037643433,1,4170.8,11580.39453125,108696.79296875
69.81461977958679,1,4020.0,10249.18359375,108696.79296875
70.83455014228821,1,3144.0,16901.26953125,109356.79296875
71.84216642379761,1,1731.1,22543.25,109356.79296875
72.85076332092285,1,2122.5,22183.78125,109356.79296875
73.85857820510864,1,100.2,28406.88671875,109356.79296875
74.86630630493164,1,103.2,35228.32421875,109356.79296875
75.87331438064575,1,105.3,36129.98828125,109356.79296875
76.88067078590393,1,104.2,35821.77734375,109356.79296875
77.88768029212952,1,107.2,35421.50390625,109356.79296875
78.89545965194702,1,103.2,35114.13671875,109356.79296875
79.90239024162292,1,1286.2,34709.203125,109356.79296875
80.90826487541199,1,1804.4,35156.3203125,109356.79296875
81.91461491584778,1,1815.3,36846.4140625,109356.79296875
82.93403649330139,1,2034.6,34380.50390625,109356.79296875
83.94061207771301,1,714.3,39366.30859375,109356.79296875
84.96006274223328,1,2543.5,38979.703125,109356.79296875
85.97061157226562,1,2479.0,35893.31640625,109356.79296875
86.97696805000305,1,519.6,39345.87109375,109356.79296875
87.98460721969604,1,992.5,45284.40234375,109356.79296875
89.00361347198486,1,4770.0,47679.01171875,109376.79296875
90.01879358291626,1,324.1,43012.47265625,109376.79296875
91.02595829963684,1,2813.8,38917.72265625,109376.79296875
92.03551006317139,1,2365.6,36402.15234375,109376.79296875
93.05461072921753,1,3562.9,19282.3125,109376.79296875
94.07637405395508,1,4781.1,18925.1953125,109376.79296875
95.09760618209839,1,4776.7,18628.6328125,109376.79296875
96.11761569976807,1,3257.6,20815.28515625,109376.79296875
97.12723660469055,1,1988.0,19707.27734375,109376.79296875
98.13648343086243,1,3068.3,10857.11328125,109376.79296875
99.15630173683167,1,3327.7,10719.14453125,109376.79296875
100.1739752292633,1,2932.5,10801.25390625,109376.79296875
101.18109440803528,1,2074.5,10447.52734375,109376.79296875
102.18784666061401,1,2484.9,3001.046875,109888.80078125
103.19560670852661,1,643.1,4228.05859375,109376.79296875
104.20511531829834,1,765.7,3959.46875,109376.79296875
105.21214365959167,1,1078.3,3642.22265625,109376.79296875
106.21893572807312,1,4517.9,3702.05078125,109376.79296875
107.23399639129639,1,2422.7,10386.765625,109376.79296875
108.24160861968994,1,4032.7,11190.7421875,109376.79296875
109.25664234161377,1,4063.6,8625.96875,109376.79296875
110.28863525390625,1,3528.9,15463.20703125,109592.79296875
111.29509735107422,1,1329.5,21851.70703125,109592.79296875
112.30475687980652,1,2358.1,21865.46484375,109592.79296875
113.31302309036255,1,102.2,28942.23046875,109592.79296875
114.32078623771667,1,103.2,35428.9296875,109592.79296875
115.32830810546875,1,103.2,35220.78515625,109592.79296875
116.3351697921753,1,103.3,34980.50390625,109592.79296875
117.34210062026978,1,104.3,34638.234375,109592.79296875
118.34862422943115,1,464.0,34239.65234375,109592.79296875
119.35577654838562,1,1842.5,34185.7265625,109592.79296875
120.36303091049194,1,1644.1,34828.18359375,109592.79296875
121.370840549469,1,2298.0,35570.30078125,109592.79296875
122.37915992736816,1,880.7,36856.09765625,109592.79296875
123.38588809967041,1,3127.9,40685.15625,109592.79296875
124.39335989952087,1,1565.3,36893.3203125,109592.79296875
125.40137791633606,1,1556.8,36787.2265625,109592.79296875
126.40949583053589,1,101.2,41701.4296875,109592.79296875
127.4176094532013,1,3575.8,44815.0234375,109592.79296875
128.43679356575012,1,2280.1,49594.5625,109592.79296875
129.44557452201843,1,2835.3,40944.26953125,109592.79296875
130.4523265361786,1,1459.9,39175.23046875,109592.79296875
131.46061611175537,1,2528.3,19119.63671875,109592.79296875
132.4806044101715,1,4774.8,18811.19921875,109592.79296875
133.5006022453308,1,4779.7,18476.63671875,109592.79296875
134.5216143131256,1,3445.2,20468.38671875,109592.79296875
135.52860689163208,1,2526.5,19339.74609375,109592.79296875
136.54338598251343,1,2515.9,10558.08984375,109592.79296875
137.55012965202332,1,3805.8,10637.8359375,109592.79296875
138.56062531471252,1,3008.4,10752.21484375,109592.79296875
139.5727949142456,1,2129.4,10208.36328125,109592.79296875
140.58060550689697,1,2305.0,9730.47265625,109592.79296875
141.5955102443695,1,1230.5,3103.3203125,109592.79296875
142.60239052772522,1,2564.3,3954.80859375,109592.79296875
143.61062026023865,1,3236.5,6038.04296875,109592.79296875
144.61760926246643,1,3472.0,5636.88671875,109592.79296875
145.63628602027893,1,2395.3,11346.265625,109592.79296875
146.6446430683136,1,1182.9,15290.890625,109592.79296875
147.6518521308899,1,101.3,18440.34375,109592.79296875
148.65938711166382,1,102.2,18247.203125,109592.79296875
149.66620588302612,1,1326.1,18157.4765625,109592.79296875
150.67231512069702,1,1771.8,19030.05859375,109592.79296875
151.6796088218689,1,1992.8,20504.54296875,109592.79296875
152.69809770584106,1,2110.1,18245.29296875,109592.79296875
153.70460987091064,1,978.6,23180.765625,109592.79296875
154.72313380241394,1,2376.0,21593.51953125,109592.79296875
155.73960876464844,1,2467.4,19413.96484375,109592.79296875
156.7546136379242,1,4120.0,10815.5078125,109592.79296875
157.7740581035614,1,3410.5,11281.92578125,109592.79296875
158.78083300590515,1,3067.0,6660.4140625,109592.79296875
159.788161277771,1,2021.6,6837.0390625,109592.79296875
160.79455494880676,1,2278.4,6541.70703125,109592.79296875
161.80081868171692,1,2462.2,3029.62890625,109874.79296875
162.80860471725464,1,3352.3,6659.203125,109874.79296875
163.82341599464417,1,3109.4,7518.5078125,109874.79296875
164.83103203773499,1,789.0,8975.078125,109874.79296875
165.83815741539001,1,1537.1,9743.671875,109874.79296875
166.8516139984131,1,3074.8,6809.765625,109874.79296875
167.87159538269043,1,4783.0,6745.90234375,109874.79296875
168.88656187057495,1,2594.0,6971.78515625,109874.79296875
169.89517331123352,1,3298.7,5935.86328125,109874.79296875
170.90231800079346,1,3477.5,4144.41015625,109874.79296875
171.9090428352356,1,2966.2,4350.08203125,109874.79296875
172.91566967964172,1,2670.7,4135.51171875,109874.79296875
173.9236035346985,1,3593.4,3023.70703125,109874.79296875
174.93661308288574,1,3113.5,3043.9765625,109874.79296875
175.94398260116577,1,3325.1,2799.19921875,109874.79296875
176.95110511779785,1,3396.3,2587.2109375,109874.79296875
