filename,num_segments,app_proof_cells,app_proof_cols,total_proof_time_ms,total_proof_time_excluding_trace_ms,app_proof_time_ms,app_proof_time_excluding_trace_ms,app_execute_preflight_time_ms,app_execute_metered_time_ms,app_trace_gen_time_ms,leaf_proof_time_ms,leaf_proof_time_excluding_trace_ms,inner_recursion_proof_time_ms,inner_recursion_proof_time_excluding_trace_ms,normal_instruction_ratio,openvm_precompile_ratio,powdr_ratio,powdr_rows
affine-hint-apc000/metrics.json,9,4342492268,7461,343112,326610,322392,306487,3922,1185,11144,10838,10426,9882,9697,0.9875374543787213,0.012462545621278697,0.0,0
affine-hint-apc030/metrics.json,3,1049468964,43527,189354,106949,171606,89538,3845,2289,77952,10235,10027,7513,7384,0.2615155754143864,0.02046307679090165,0.7180213477947119,2652160
manual/metrics.json,1,77632866,2968,21226,20528,11475,10936,91,57,360,3015,2956,6736,6636,0.5629368365712533,0.4370631634287468,0.0,0
projective-apc000/metrics.json,26,13090111870,20604,1012089,968390,962442,920292,9948,3552,29813,29320,28158,20327,19940,0.988964333427045,0.011035666572954964,0.0,0
projective-apc030/metrics.json,5,1966430338,106908,421803,204364,389236,172473,9676,4473,206621,22760,22251,9807,9640,0.18595228162107413,0.013928834126846146,0.8001188842520797,4354048

