timestamp,gpu_index,memory_used_mib
2026-06-03T17:32:55Z,0,1
2026-06-03T17:33:00Z,0,1
2026-06-03T17:33:05Z,0,1
2026-06-03T17:33:10Z,0,1
2026-06-03T17:33:15Z,0,1
2026-06-03T17:33:20Z,0,1
2026-06-03T17:33:25Z,0,1
2026-06-03T17:33:30Z,0,1
2026-06-03T17:33:35Z,0,1
2026-06-03T17:33:40Z,0,16778
2026-06-03T17:33:45Z,0,16778
2026-06-03T17:33:50Z,0,16778
2026-06-03T17:33:55Z,0,16778
2026-06-03T17:34:00Z,0,16778
2026-06-03T17:34:05Z,0,16778
2026-06-03T17:34:10Z,0,16778
2026-06-03T17:34:15Z,0,16940
2026-06-03T17:34:20Z,0,16940
2026-06-03T17:34:25Z,0,16972
2026-06-03T17:34:30Z,0,16940
2026-06-03T17:34:35Z,0,16972
2026-06-03T17:34:41Z,0,16940
2026-06-03T17:34:46Z,0,16942
2026-06-03T17:34:51Z,0,16942
