timestamp,gpu_index,memory_used_mib
2026-06-03T17:41:49Z,0,1
2026-06-03T17:41:54Z,0,1
2026-06-03T17:41:59Z,0,1
2026-06-03T17:42:04Z,0,1
2026-06-03T17:42:10Z,0,1
2026-06-03T17:42:15Z,0,1
2026-06-03T17:42:20Z,0,1
2026-06-03T17:42:25Z,0,1
2026-06-03T17:42:30Z,0,1
2026-06-03T17:42:35Z,0,21
2026-06-03T17:42:40Z,0,16778
2026-06-03T17:42:45Z,0,16778
2026-06-03T17:42:50Z,0,16778
2026-06-03T17:42:55Z,0,16778
2026-06-03T17:43:00Z,0,16778
2026-06-03T17:43:05Z,0,16778
2026-06-03T17:43:10Z,0,16936
2026-06-03T17:43:15Z,0,16972
2026-06-03T17:43:20Z,0,16974
2026-06-03T17:43:25Z,0,17006
2026-06-03T17:43:30Z,0,16942
2026-06-03T17:43:35Z,0,17006
2026-06-03T17:43:40Z,0,16974
2026-06-03T17:43:45Z,0,16944
2026-06-03T17:43:50Z,0,16946
