timestamp,gpu_index,memory_used_mib
2026-06-03T17:39:36Z,0,1
2026-06-03T17:39:41Z,0,1
2026-06-03T17:39:46Z,0,1
2026-06-03T17:39:51Z,0,1
2026-06-03T17:39:56Z,0,1
2026-06-03T17:40:01Z,0,1
2026-06-03T17:40:06Z,0,1
2026-06-03T17:40:11Z,0,1
2026-06-03T17:40:16Z,0,1
2026-06-03T17:40:21Z,0,21
2026-06-03T17:40:26Z,0,16778
2026-06-03T17:40:31Z,0,16778
2026-06-03T17:40:36Z,0,16778
2026-06-03T17:40:41Z,0,16778
2026-06-03T17:40:46Z,0,16778
2026-06-03T17:40:51Z,0,16778
2026-06-03T17:40:56Z,0,16972
2026-06-03T17:41:01Z,0,16972
2026-06-03T17:41:06Z,0,16940
2026-06-03T17:41:11Z,0,16972
2026-06-03T17:41:16Z,0,16940
2026-06-03T17:41:21Z,0,16972
2026-06-03T17:41:26Z,0,16942
2026-06-03T17:41:31Z,0,16944
