timestamp,gpu_index,memory_used_mib
2026-06-03T17:35:09Z,0,1
2026-06-03T17:35:14Z,0,1
2026-06-03T17:35:19Z,0,1
2026-06-03T17:35:24Z,0,1
2026-06-03T17:35:29Z,0,1
2026-06-03T17:35:34Z,0,1
2026-06-03T17:35:39Z,0,1
2026-06-03T17:35:44Z,0,1
2026-06-03T17:35:49Z,0,1
2026-06-03T17:35:54Z,0,21
2026-06-03T17:35:59Z,0,16778
2026-06-03T17:36:04Z,0,16778
2026-06-03T17:36:09Z,0,16778
2026-06-03T17:36:14Z,0,16778
2026-06-03T17:36:19Z,0,16778
2026-06-03T17:36:24Z,0,16778
2026-06-03T17:36:29Z,0,16940
2026-06-03T17:36:34Z,0,16940
2026-06-03T17:36:39Z,0,16940
2026-06-03T17:36:44Z,0,16972
2026-06-03T17:36:49Z,0,16940
2026-06-03T17:36:54Z,0,16972
2026-06-03T17:36:59Z,0,16942
2026-06-03T17:37:04Z,0,16912
