elapsed_time,nproc,cpu,mem_real,mem_virtual
5.793571472167969e-05,2,0.0,12.94140625,37.53515625
1.0010697841644287,7,22.0,157.36328125,519.78125
2.002760410308838,3,1.0,519.86328125,1361.3125
3.004270315170288,3,1.0,582.58984375,1504.84765625
4.005872011184692,3,99.8,790.19140625,1764.84765625
5.00738263130188,3,475.0,1260.23828125,2309.8984375
6.009550333023071,3,1263.3,1270.58203125,2191.9140625
7.0116753578186035,3,886.3,1001.06640625,2322.8203125
8.013607263565063,3,289.5,878.91015625,2380.78515625
9.015218257904053,3,1043.9,1471.16796875,2541.9140625
10.017227411270142,3,1300.2,1516.3671875,2541.9140625
11.019343137741089,3,1102.8,1243.62109375,2587.85546875
12.021362066268921,3,410.3,821.62890625,2637.7734375
13.023155450820923,3,0.0,489.16015625,1543.734375
14.024608612060547,3,99.8,719.80078125,1811.734375
15.026279926300049,3,100.8,888.23828125,2055.734375
16.027987718582153,3,227.6,1286.24609375,2514.828125
17.029757738113403,3,832.3,1757.1875,3089.4375
18.031862020492554,3,1294.0,1725.8984375,2798.52734375
19.034189701080322,3,1177.5,1664.8046875,2978.49609375
20.036293506622314,3,847.3,1444.34375,3112.44921875
21.03827166557312,3,365.4,1153.0546875,3220.40234375
22.03982186317444,3,173.7,899.33203125,3297.37890625
23.04152488708496,3,1259.2,1988.44921875,3491.53125
24.043765783309937,3,1300.2,2107.59375,3491.53125
25.0459144115448,3,1300.1,2121.28125,3563.53125
26.048106908798218,3,1286.4,1946.77734375,3607.5078125
27.050143003463745,3,827.7,1510.60546875,3663.4375
28.051700353622437,3,352.4,1243.796875,3663.4140625
29.053236961364746,6,191.6,579.1171875,4464.71484375
30.055287837982178,2,44.9,135.8359375,8395197.4296875
31.056632041931152,2,100.9,258.51171875,8445216.6328125
32.05795645713806,2,426.3,286.59375,8445597.29296875
