timestamp,gpu_index,memory_used_mib
2026-06-03T12:31:10Z,0,1
2026-06-03T12:31:15Z,0,1
2026-06-03T12:31:20Z,0,1
2026-06-03T12:31:25Z,0,1
2026-06-03T12:31:30Z,0,1
2026-06-03T12:31:35Z,0,1
2026-06-03T12:31:40Z,0,1
2026-06-03T12:31:45Z,0,1
2026-06-03T12:31:50Z,0,1
2026-06-03T12:31:55Z,0,1
2026-06-03T12:32:00Z,0,16778
2026-06-03T12:32:05Z,0,16778
2026-06-03T12:32:10Z,0,16778
2026-06-03T12:32:15Z,0,16778
2026-06-03T12:32:20Z,0,16778
2026-06-03T12:32:25Z,0,16778
2026-06-03T12:32:30Z,0,16936
2026-06-03T12:32:35Z,0,17036
2026-06-03T12:32:40Z,0,16972
2026-06-03T12:32:45Z,0,16972
2026-06-03T12:32:50Z,0,17004
2026-06-03T12:32:55Z,0,17004
2026-06-03T12:33:00Z,0,16972
2026-06-03T12:33:05Z,0,16974
2026-06-03T12:33:10Z,0,16944
