timestamp,gpu_index,memory_used_mib
2026-06-03T12:33:28Z,0,1
2026-06-03T12:33:33Z,0,1
2026-06-03T12:33:38Z,0,1
2026-06-03T12:33:43Z,0,1
2026-06-03T12:33:48Z,0,1
2026-06-03T12:33:53Z,0,1
2026-06-03T12:33:58Z,0,1
2026-06-03T12:34:03Z,0,1
2026-06-03T12:34:08Z,0,1
2026-06-03T12:34:13Z,0,1
2026-06-03T12:34:18Z,0,16778
2026-06-03T12:34:24Z,0,16778
2026-06-03T12:34:29Z,0,16778
2026-06-03T12:34:34Z,0,16778
2026-06-03T12:34:39Z,0,16778
2026-06-03T12:34:44Z,0,16778
2026-06-03T12:34:49Z,0,16936
2026-06-03T12:34:54Z,0,17036
2026-06-03T12:34:59Z,0,17004
2026-06-03T12:35:04Z,0,17004
2026-06-03T12:35:09Z,0,17068
2026-06-03T12:35:14Z,0,17100
2026-06-03T12:35:19Z,0,17068
2026-06-03T12:35:24Z,0,17036
2026-06-03T12:35:29Z,0,16974
2026-06-03T12:35:34Z,0,16912
2026-06-03T12:35:39Z,0,16912
