timestamp,gpu_index,memory_used_mib
2026-06-03T12:22:15Z,0,1
2026-06-03T12:22:20Z,0,1
2026-06-03T12:22:25Z,0,1
2026-06-03T12:22:30Z,0,1
2026-06-03T12:22:35Z,0,1
2026-06-03T12:22:40Z,0,1
2026-06-03T12:22:45Z,0,1
2026-06-03T12:22:50Z,0,1
2026-06-03T12:22:55Z,0,1
2026-06-03T12:23:00Z,0,1
2026-06-03T12:23:05Z,0,16778
2026-06-03T12:23:10Z,0,16778
2026-06-03T12:23:15Z,0,16778
2026-06-03T12:23:20Z,0,16778
2026-06-03T12:23:25Z,0,16778
2026-06-03T12:23:30Z,0,16778
2026-06-03T12:23:35Z,0,16940
2026-06-03T12:23:40Z,0,17004
2026-06-03T12:23:45Z,0,16972
2026-06-03T12:23:50Z,0,16940
2026-06-03T12:23:56Z,0,16972
2026-06-03T12:24:01Z,0,16940
2026-06-03T12:24:06Z,0,16974
2026-06-03T12:24:11Z,0,16942
