elapsed_time,nproc,cpu,mem_real,mem_virtual
3.981590270996094e-05,1,0.0,10.1328125,3191.3203125
1.0058348178863525,2,31.8,44.3046875,168.91015625
2.013676643371582,2,4.0,55.87890625,180.16796875
3.0201423168182373,10,21.8,890.45703125,5206.60546875
4.027732849121094,6,202.4,1205.60546875,4395.80078125
5.035885334014893,8,104.0,1138.875,5161.30859375
6.045439004898071,5,100.1,728.18359375,3454.93359375
7.054082155227661,3,99.3,661.5,2824.7890625
8.061546087265015,3,100.2,746.0390625,2936.7890625
9.069568634033203,3,2.0,253.95703125,2298.74609375
10.077373743057251,3,1.0,296.18359375,2352.67578125
11.085160732269287,3,3.0,197.99609375,2259.0625
12.093371629714966,3,99.3,344.55859375,2393.0625
13.100867986679077,8,7.9,885.45703125,4460.703125
14.110526323318481,4,101.2,464.04296875,2827.3359375
15.118101119995117,3,4.0,190.64453125,2280.58203125
16.125712633132935,3,0.0,190.828125,2207.7890625
17.133894205093384,1,64.5,88.6484375,4165.3125
18.14480757713318,1,1275.2,601.32421875,4991.3125
19.156742095947266,1,1679.6,1126.359375,6855.34375
20.168862104415894,1,2018.0,2199.04296875,8399.34375
21.178749322891235,1,503.0,2743.5078125,8943.375
22.189497709274292,1,1936.3,5019.2421875,10785.375
23.19986367225647,1,2164.8,6043.26953125,12833.375
24.2246310710907,1,2695.7,8120.2265625,16769.375
25.234765768051147,1,1188.0,10177.33203125,21901.375
26.2444429397583,1,100.0,13318.06640625,21901.375
27.25481367111206,1,100.0,14003.3984375,21901.375
28.265547037124634,1,1817.7,14148.80078125,22114.375
29.274330854415894,1,2079.5,14628.37109375,28544.375
30.285131216049194,1,98.9,16258.27734375,28544.375
31.295860290527344,1,2384.8,16841.53125,28950.375
32.32008099555969,1,4027.5,16956.81640625,29070.375
33.34486174583435,1,2977.2,17449.4765625,29666.375
34.36513710021973,1,2049.2,17471.91796875,29678.375
35.375587940216064,1,2600.2,17472.015625,29678.375
36.38485789299011,1,3260.8,17603.89453125,29812.87890625
37.406115770339966,1,1922.1,17730.234375,29944.87890625
38.41585850715637,1,3243.4,17913.80859375,30112.87890625
39.434788942337036,1,3979.7,17940.69921875,30158.87890625
40.44185996055603,1,2978.9,17943.5234375,30158.87890625
41.460521936416626,1,3372.1,18171.1796875,30468.87890625
42.46686100959778,1,2385.9,18235.078125,30554.87890625
43.48496651649475,1,3580.9,18586.1328125,30570.87890625
44.495614767074585,1,3182.3,18640.83203125,30628.87890625
45.51530408859253,1,3348.1,18679.5390625,30642.87890625
46.52297329902649,1,3263.1,18711.56640625,30656.87890625
