filename,num_segments,app_proof_cells,app_proof_cols,total_proof_time_ms,total_proof_time_excluding_trace_ms,app_proof_time_ms,app_proof_time_excluding_trace_ms,app_execute_preflight_time_ms,app_execute_metered_time_ms,app_trace_gen_time_ms,leaf_proof_time_ms,leaf_proof_time_excluding_trace_ms,inner_recursion_proof_time_ms,inner_recursion_proof_time_excluding_trace_ms,normal_instruction_ratio,openvm_precompile_ratio,powdr_ratio,powdr_rows
apc000/metrics.json,2,565435434,1170,1792,1074,1362,713,357,93,89,140,106,290,255,0.985441379324664,0.014558620675336028,0.0,0
apc003/metrics.json,1,70206142,6960,1267,585,835,222,337,167,114,134,104,298,259,0.19603324734750416,0.05753314289795329,0.7464336097545425,24576
apc010/metrics.json,1,58729224,7281,1271,583,846,222,351,140,107,136,105,289,256,2.4859855120850908e-06,0.06877632164865655,0.9312211923658313,49156
apc030/metrics.json,1,58729121,7219,1261,578,839,219,348,138,111,135,105,287,254,0.0,0.06877644226958547,0.9312235577304145,49157
apc100/metrics.json,1,58729121,7219,1261,586,841,229,347,137,104,134,104,286,253,0.0,0.06877644226958547,0.9312235577304145,49157
apc300/metrics.json,1,58729121,7219,1267,586,843,226,350,150,106,136,105,288,255,0.0,0.06877644226958547,0.9312235577304145,49157

